"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue May 07 13:41:26 UTC 2024","Tue May 07 13:41:26 UTC 2024","0","","Carrinho de compras funcionalidade","","","","CT05 - validar mensagem de erro ao adicionar quantidade acima do maximo",""
"skipped","Tue May 07 13:41:26 UTC 2024","Tue May 07 13:41:26 UTC 2024","1","","Carrinho de compras funcionalidade","","","","CT02 - validar produto adicionado no carrinho de compras com sucesso",""
"broken","Tue May 07 13:40:42 UTC 2024","Tue May 07 13:41:26 UTC 2024","43502","","Carrinho de compras funcionalidade","","","","CT01 - validar produto auto desativado ao entrar na página Cartões VR",""
"skipped","Tue May 07 13:41:26 UTC 2024","Tue May 07 13:41:26 UTC 2024","0","","Carrinho de compras funcionalidade","","","","CT04 - validar mensagem de erro ao adicionar valor minimo",""
"skipped","Tue May 07 13:41:26 UTC 2024","Tue May 07 13:41:26 UTC 2024","0","","Carrinho de compras funcionalidade","","","","CT03 - validar produto adicionado no carrinho de compras com sucesso, usando o valor máximo",""
